date,time,location,temperature,feels_like,humidity,pressure,precipitation,uv,wind_speed,cloud_cover,helmet,tops,bottoms,shoes,socks,gloves,arm_warmers,eyewear,rain_gear,accessories
2024-09-01,06:00,Palisades,65,64,60,30.0,0,4,8,25,Road helmet,Short sleeve jersey,Bib shorts,Road shoes,Cycling socks,None,None,Sunglasses,None,Lights
2024-09-08,07:30,9W Route,58,55,65,29.9,0,3,12,40,Road helmet,Short sleeve jersey,Bib shorts,Road shoes,Cycling socks,Fingerless,Arm warmers,Sunglasses,None,None
2024-09-15,06:30,Bear Mountain Loop,52,48,55,30.1,0,2,15,30,Road helmet,Long sleeve jersey,3/4 bibs,Road shoes,Wool socks,Full finger light,Arm + leg warmers,Photochromic,None,Lights
2024-09-22,08:00,Nyack,68,67,50,30.0,0,5,6,15,Road helmet,Short sleeve jersey,Bib shorts,Road shoes,Cycling socks,None,None,Sunglasses,None,None
2024-09-28,07:00,River Road,48,42,70,29.8,0.1,2,18,80,Road helmet,Thermal jersey,Bib tights,Road shoes,Thermal socks,Thermal gloves,Arm + leg warmers,Clear glasses,Rain jacket,Lights
2024-10-05,06:30,Palisades,55,52,58,30.2,0,3,10,35,Road helmet,Long sleeve jersey,Bib shorts,Road shoes,Cycling socks,Fingerless,Arm warmers,Sunglasses,None,None
2024-10-12,07:00,Alpine Loop,45,40,50,30.0,0,2,14,20,Road helmet,Thermal jersey,Bib tights,Road shoes,Thermal socks,Thermal gloves,Arm + leg warmers,Photochromic,None,Lights
2024-10-19,08:30,9W Route,62,60,55,30.1,0,4,8,25,Road helmet,Short sleeve jersey,Bib shorts,Road shoes,Cycling socks,None,Arm warmers,Sunglasses,None,None
2024-10-26,06:00,Nyack,38,32,45,30.3,0,1,20,10,Road helmet,Jersey + jacket,Bib tights,Road shoes,Thermal socks,Lobster gloves,Arm + leg warmers,Clear glasses,None,Lights + vest
2024-11-02,07:30,River Road,50,46,60,29.9,0,2,12,45,Road helmet,Long sleeve jersey,3/4 bibs,Road shoes,Wool socks,Full finger light,Arm + knee warmers,Photochromic,None,Lights
2024-11-09,08:00,Palisades,42,36,52,30.0,0,2,16,30,Road helmet,Thermal jersey,Bib tights,Road shoes,Thermal socks,Thermal gloves,Arm + leg warmers,Clear glasses,None,Lights + vest
2024-11-16,07:00,Bear Mountain,55,52,58,30.1,0,3,10,35,Road helmet,Long sleeve jersey,Bib shorts,Road shoes,Cycling socks,Fingerless,Arm warmers,Sunglasses,None,None
2024-11-23,06:30,Alpine Loop,35,28,48,30.2,0,1,22,15,Road helmet,Jersey + jacket,Tights over bibs,Road shoes,Thermal socks,Lobster gloves,Arm + leg warmers,Clear glasses,None,Lights + vest
2024-12-01,08:00,Nyack,40,34,55,29.8,0,2,14,40,Road helmet,Thermal jersey,Bib tights,Road shoes,Thermal socks,Thermal gloves,Arm + leg warmers,Photochromic,None,Lights





